match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260902_SintTruidense_UnionSaint-Gilloise,1.7634,2.08,1.7634,2.08,-131,108,3.74,3.46,2.02,274,246,102,0.5,1.8333,2.03,-120,103,1.5,2.88,1.4184,188,-239,2.5,3.88,1.2398,288,-417,1634877725
20260903_Gent_Oud-HeverleeLeuven,1.7576,2.09,1.7576,2.09,-132,109,1.6452,4.02,5.03,-155,302,403,-0.75,1.8264,2.03,-121,103,1.5,1.6849,2.18,-146,118,0.5,1.5263,2.52,-190,152,1634112959
20260904_Lommel_ClubBrugge,1.3049,3.41,1.3049,3.41,-328,241,8.96,6.13,1.2681,796,513,-373,2.0,1.7407,2.12,-135,112,0.5,1.5988,2.32,-167,132,2.5,1.7519,2.06,-133,106,1634986698
20260905_Mechelen_Westerlo,1.6173,2.32,1.6173,2.32,-162,132,2.12,3.69,3.26,112,269,226,-0.25,1.8547,2.0,-117,100,2.5,3.62,1.2688,262,-372,1.5,2.39,1.5556,139,-180,1635091318
20260905_StandardLiege_RoyalAntwerp,1.8264,2.02,1.8264,2.02,-121,102,2.16,3.54,3.28,116,254,228,-0.5,2.16,1.7246,116,-138,1.5,2.13,1.7194,113,-139,1.5,2.77,1.4464,177,-224,1635071625
