match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260829_Celtic_Falkirk,1.4405,2.79,1.4405,2.79,-227,179,1.2584,6.44,10.61,-387,544,961,-1.5,1.7519,2.14,-133,114,3.5,3.49,1.2994,249,-334,0.5,1.7937,2.06,-126,106,1634582057
20260829_Hearts_StJohnstone,1.7752,2.11,1.7752,2.11,-129,111,1.8,3.95,4.4,-125,295,340,-0.75,2.05,1.8696,105,-115,1.5,1.8,2.07,-125,107,0.5,1.4695,2.79,-213,179,1634585165
20260829_Kilmarnock_DundeeUnited,1.6803,2.28,1.6803,2.28,-147,128,2.57,3.75,2.65,157,275,165,-0.25,2.24,1.7143,124,-140,1.5,2.18,1.7246,118,-138,1.5,2.23,1.6944,123,-144,1634585166
20260830_Aberdeen_Rangers,1.6623,2.29,1.6623,2.29,-151,129,4.06,3.94,1.8475,306,294,-118,0.5,2.04,1.8547,104,-117,1.5,2.84,1.4464,184,-224,1.5,1.7353,2.14,-136,114,1634603225
20260830_Dundee_Hibernian,1.8333,2.03,1.8333,2.03,-120,103,3.17,3.57,2.2,217,257,120,0.5,1.7042,2.21,-142,121,1.5,2.71,1.4717,171,-212,1.5,2.1,1.7519,110,-133,1634582058
20260830_StMirren_Motherwell,1.9901,1.8621,1.9901,1.8621,-101,-116,2.61,3.2,2.83,161,220,183,0.0,1.8621,2.02,-116,102,1.5,2.48,1.5525,148,-181,1.5,2.63,1.4975,163,-201,1634585061
