match_id,actual_home,actual_away,league,home_team,away_team,notes
20260823_AtleticoMadrid_Villarreal,2.0,2.0,LaLiga,Atletico Madrid,Villarreal,
20260823_Elche_Barcelona,0.0,5.0,LaLiga,Elche,Barcelona,
20260823_Getafe_RacingSantander,1.0,0.0,LaLiga,Getafe,Racing Santander,
20260823_Angers_Lille,0.0,2.0,Ligue1,Angers,Lille,
20260823_LeHavre_Monaco,0.0,1.0,Ligue1,Le Havre,Monaco,
20260823_ParisSaint-Germain_Rennes,0.0,0.0,Ligue1,Paris Saint-Germain,Rennes,
20260823_Atalanta_Sassuolo,2.0,1.0,SerieA,Atalanta,Sassuolo,
20260823_Frosinone_Juventus,0.0,1.0,SerieA,Frosinone,Juventus,
20260823_Torino_ACMilan,1.0,2.0,SerieA,Torino,AC Milan,
20260823_Venezia_Lecce,0.0,2.0,SerieA,Venezia,Lecce,
20260814_CercleBrugge_SintTruidense,3.0,3.0,Belgium,Cercle Brugge,Sint Truidense,
20260815_Genk_KVCWesterlo,3.0,2.0,Belgium,Genk,KVC Westerlo,
20260815_KVKortrijk_RoyalAntwerp,0.0,3.0,Belgium,KV Kortrijk,Royal Antwerp,
20260815_Oud-HeverleeLeuven_ClubBrugge,0.0,3.0,Belgium,Oud-Heverlee Leuven,Club Brugge,
20260815_UnionSaint-Gilloise_ZulteWaregem,0.0,0.0,Belgium,Union Saint-Gilloise,Zulte Waregem,
20260814_Wolves_Blackburn,2.0,2.0,Championship,Wolves,Blackburn,Jimenez 90+3 pen
20260814_Telstar_SpartaRotterdam,1.0,3.0,Eredivisie,Telstar,Sparta Rotterdam,
20260815_Excelsior_PSV,1.0,2.0,Eredivisie,Excelsior,PSV,
20260815_WillemII_NECNijmegen,1.0,4.0,Eredivisie,Willem II,NEC Nijmegen,
20260816_Ajax_Heerenveen,2.0,2.0,Eredivisie,Ajax,Heerenveen,Ajax blew 2-0
20260816_Feyenoord_GoAheadEagles,2.0,2.0,Eredivisie,Feyenoord,Go Ahead Eagles,Feyenoord blew 2-goal lead
20260815_Alaves_Getafe,3.0,0.0,LaLiga,Alaves,Getafe,Getafe red 42'; late 3-0
20260815_Sevilla_RayoVallecano,2.0,1.0,LaLiga,Sevilla,Rayo Vallecano,Two Sevilla pens; 97' winner
20260816_Espanyol_Levante,3.0,0.0,LaLiga,Espanyol,Levante,
20260816_RacingSantander_Villarreal,2.0,2.0,LaLiga,Racing Santander,Villarreal,Racing blew 2-0 lead
20260815_OrlandoCity_FCCincinnati,1.0,1.0,MLS,Orlando City,FC Cincinnati,
20260816_LosAngelesFC_SanDiegoFC,0.0,1.0,MLS,Los Angeles FC,San Diego FC,
20260816_NashvilleSC_InterMiami,4.0,1.0,MLS,Nashville SC,Inter Miami,
20260814_SportingCP_VitoriaGuimaraes,3.0,2.0,PrimeiraLiga,Sporting CP,Vitoria Guimaraes,First Sporting league win; blew 3-0 HT lead
20260815_AcademicodeViseu_SantaClara,0.0,1.0,PrimeiraLiga,Academico de Viseu,Santa Clara,
20260815_Alverca_EstreladaAmadora,2.0,2.0,PrimeiraLiga,Alverca,Estrela da Amadora,
20260815_RioAve_Porto,0.0,2.0,PrimeiraLiga,Rio Ave,Porto,Porto 2/2; Perez + Sainz
20260816_Braga_GilVicente,,,PrimeiraLiga,Braga,Gil Vicente,POSTPONED
20260816_NacionaldaMadeira_Estoril,0.0,0.0,PrimeiraLiga,Nacional da Madeira,Estoril,
