match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260904_Porto_Moreirense,1.5917,2.09,1.5917,2.09,-169,109,,,,,,,-1.5,1.6211,2.06,-161,106,2.5,2.09,1.625,109,-160,0.5,2.38,1.4808,138,-208,1634992135
20260905_EstreladaAmadora_Famalicao,2.21,1.6803,2.21,1.6803,121,-147,3.09,3.15,2.45,209.0,215.0,145.0,0.25,1.7812,2.1,-128,110,0.5,1.4329,2.82,-231,182,1.5,2.59,1.5025,159,-199,1635119267
20260905_Alverca_SportingBraga,1.9709,1.8696,1.9709,1.8696,-103,-115,4.55,3.66,1.7812,355.0,266.0,-128.0,0.75,1.8197,2.04,-122,104,0.5,1.5319,2.5,-188,150,2.5,3.94,1.2347,294,-426,1635127033
20260905_Maritimo_Benfica,1.5682,2.43,1.5682,2.43,-176,143,10.53,6.05,1.2558,953.0,505.0,-391.0,1.5,2.09,1.7692,109,-130,0.5,1.9804,1.8333,-102,-120,2.5,2.12,1.7194,112,-139,1635126678
20260905_SportingLisbon_NacionaldaMadeira,1.303,2.93,1.303,2.93,-330,193,,,,,,,-2.25,2.01,1.6494,101,-154,2.5,1.6579,2.03,-152,103,0.5,1.7246,1.9434,-138,-106,1635002933
20260906_SantaClara_RioAve,2.24,1.6623,2.24,1.6623,124,-151,1.8,3.49,4.74,-125.0,249.0,374.0,-0.5,1.8065,2.06,-124,106,1.5,2.09,1.7463,109,-134,0.5,1.6667,2.21,-150,121,1635196920
20260906_VitoriaGuimaraes_CasaPia,2.01,1.8333,2.01,1.8333,101,-120,1.5464,4.04,6.16,-183.0,304.0,516.0,-0.75,1.7042,2.19,-142,119,1.5,1.7143,2.13,-140,113,0.5,1.7463,2.09,-134,109,1635208770
20260906_GilVicente_AcademicodeViseu,2.03,1.8197,2.03,1.8197,103,-122,1.8621,3.54,4.28,-116.0,254.0,328.0,-0.75,2.14,1.7353,114,-136,2.5,4.16,1.2151,316,-465,0.5,1.5236,2.53,-191,153,1635205030
20260907_Estoril_Arouca,1.9009,1.9346,1.9009,1.9346,-111,-107,2.19,3.39,3.36,119.0,239.0,236.0,-0.5,2.19,1.7042,119,-142,1.5,2.18,1.6849,118,-146,1.5,2.86,1.4237,186,-236,1635240065
