match_id,date,home_team,away_team
20260828_Groningen_FortunaSittard,2026-08-28,Groningen,Fortuna Sittard
20260829_Excelsior_SpartaRotterdam,2026-08-29,Excelsior,Sparta Rotterdam
20260829_AZAlkmaar_GoAheadEagles,2026-08-29,AZ Alkmaar,Go Ahead Eagles
20260829_PECZwolle_NECNijmegen,2026-08-29,PEC Zwolle,NEC Nijmegen
20260830_Utrecht_PSVEindhoven,2026-08-30,Utrecht,PSV Eindhoven
20260830_Feyenoord_ADODenHaag,2026-08-30,Feyenoord,ADO Den Haag
20260830_WillemII_Heerenveen,2026-08-30,Willem II,Heerenveen
20260830_Telstar_Ajax,2026-08-30,Telstar,Ajax
20260830_Cambuur_FCTwente,2026-08-30,Cambuur,FC Twente
