match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260904_SpartaRotterdam_PECZwolle,1.4505,2.74,1.4505,2.74,-222,174,1.8621,3.89,3.88,-116,289,288,-0.75,2.09,1.7692,109,-130,1.5,1.5682,2.41,-176,141,1.5,2.36,1.5882,136,-170,1634992114
20260905_NECNijmegen_Feyenoord,1.361,3.12,1.361,3.12,-277,212,3.1,4.12,2.06,210,312,106,0.25,2.03,1.8333,103,-120,2.5,3.96,1.2326,296,-430,1.5,1.6135,2.31,-163,131,1635113907
20260905_Utrecht_GoAheadEagles,1.5435,2.49,1.5435,2.49,-184,149,1.9259,3.68,3.83,-108,268,283,-0.75,2.2,1.6993,120,-143,1.5,1.6667,2.21,-150,121,1.5,2.55,1.5128,155,-195,1635101826
20260905_Ajax_PSVEindhoven,1.3413,3.24,1.3413,3.24,-293,224,2.6,4.0,2.4,160,300,140,0.0,2.01,1.8475,101,-118,1.5,1.7042,2.15,-142,115,1.5,1.6803,2.19,-147,119,1635101514
20260905_WillemII_Excelsior,1.6757,2.22,1.6757,2.22,-148,122,2.86,3.66,2.34,186,266,134,0.25,1.813,2.05,-123,105,1.5,2.31,1.6135,131,-163,1.5,2.03,1.7874,103,-127,1635126717
20260906_Groningen_FCTwente,1.5587,2.45,1.5587,2.45,-179,145,3.24,3.78,2.09,224,278,109,0.25,2.02,1.8403,102,-119,1.5,2.35,1.5917,135,-169,1.5,1.7752,2.04,-129,104,1635172716
20260906_Heerenveen_AZAlkmaar,1.4464,2.75,1.4464,2.75,-224,175,3.82,4.27,1.7937,282,327,-126,0.75,1.8475,2.01,-118,101,1.5,2.43,1.5618,143,-178,1.5,1.5618,2.43,-178,143,1635101513
20260906_Telstar_Cambuur,1.4808,2.64,1.4808,2.64,-208,164,1.6061,4.47,4.77,-165,347,377,-1.0,2.02,1.8403,102,-119,1.5,1.495,2.61,-202,161,1.5,2.75,1.4329,175,-231,1635196867
20260906_ADODenHaag_FortunaSittard,1.4292,2.82,1.4292,2.82,-233,182,2.05,3.99,3.21,105,299,221,-0.25,1.813,2.05,-123,105,1.5,1.6803,2.19,-147,119,1.5,2.11,1.7299,111,-137,1635132229
