match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260904_IstanbulBasaksehir_Galatasaray,1.5025,2.57,1.5025,2.57,-199,157,4.61,4.23,1.6623,361,323,-151,0.75,2.01,1.8475,101,-118,1.5,2.81,1.4348,181,-230,1.5,1.5348,2.5,-187,150,1635172668
20260905_Erzurumspor_Konyaspor,2.06,1.7812,2.06,1.7812,106,-128,2.29,3.38,3.15,129,238,215,0.0,1.6536,2.28,-153,128,1.5,2.36,1.5882,136,-170,1.5,2.98,1.3953,198,-253,1635113782
20260905_Fenerbahce_Besiktas,1.7353,2.13,1.7353,2.13,-136,113,1.8403,3.88,3.99,-119,288,299,-0.5,1.8475,2.01,-118,101,1.5,1.8,2.01,-125,101,0.5,1.4082,2.92,-245,192,1635127035
20260906_CorumBelediyespor_Eyupspor,1.9901,1.8475,1.9901,1.8475,-101,-118,1.6711,3.86,5.08,-149,286,408,-0.5,1.6711,2.25,-149,125,2.5,3.67,1.2625,267,-381,0.5,1.6135,2.31,-163,131,1634655553
20260906_Kocaelispor_Samsunspor,2.21,1.6803,2.21,1.6803,121,-147,2.54,3.0,3.09,154,200,209,0.0,1.7519,2.14,-133,114,1.5,2.64,1.4854,164,-206,0.5,1.3846,3.03,-260,203,1634655552
20260906_Trabzonspor_Genclerbirligi,1.7463,2.11,1.7463,2.11,-134,111,1.5682,4.2,5.55,-176,320,455,-0.75,1.7143,2.17,-140,117,1.5,1.6289,2.28,-159,128,0.5,1.5747,2.39,-174,139,1634648978
20260907_CaykurRizespor_Alanyaspor,2.0,1.8403,2.0,1.8403,100,-119,1.9091,3.4,4.26,-110,240,326,-0.75,2.21,1.6944,121,-144,1.5,2.0,1.8065,100,-124,0.5,1.4854,2.63,-206,163,1634649300
20260907_Goztepe_Gaziantep,1.8,2.03,1.8,2.03,-125,103,1.8929,3.69,3.95,-112,269,295,-0.75,2.18,1.7143,118,-140,2.5,3.81,1.2469,281,-405,0.5,1.4149,2.9,-241,190,1635255957
