match_id,date,home_team,away_team
20260831_Benfica_Estoril,2026-08-31,Benfica,Estoril
20260831_SportingBraga_VitoriaGuimaraes,2026-08-31,Sporting Braga,Vitoria Guimaraes
20260904_Porto_Moreirense,2026-09-04,Porto,Moreirense
20260905_EstreladaAmadora_Famalicao,2026-09-05,Estrela da Amadora,Famalicao
20260905_SportingLisbon_NacionaldaMadeira,2026-09-05,Sporting Lisbon,Nacional da Madeira
20260906_SantaClara_RioAve,2026-09-06,Santa Clara,Rio Ave
20260906_GilVicente_AcademicodeViseu,2026-09-06,Gil Vicente,Academico de Viseu
